,TSLA,QQQ,Y_d1_pr_change_diff,Y_d5_pr_change_diff,earnings flag,tweet count,tweet flag,compound,positive,negative,neutral,tesla flag,spacex flag
2020-01-28,113.37999725341795,220.1963348388672,0.0005536133543397881,0.04419747372241789,0.0,8.0,1,0.7909,0.14300000000000002,0.036000000000000004,0.821,,
2020-01-29,116.197998046875,220.55430603027344,0.023228788326458583,0.029269791459564543,1.0,10.0,1,0.9111,0.231,0.043,0.726,,
2020-01-30,128.16200256347656,221.33984375,0.099400573679441,0.1287661932235752,0.0,4.0,1,-0.3612,0.0,0.043,0.9570000000000001,,
2020-01-31,130.11399841308594,217.829833984375,0.0310887023275791,0.16811818740003648,0.0,18.0,1,0.8614,0.168,0.106,0.726,,
2020-02-03,156.0,221.1210784912109,0.18383938310295989,0.3781754667271884,0.0,34.0,1,0.9976,0.17,0.081,0.75,,
2020-02-04,177.41200256347656,226.1822662353516,0.11436766466465764,0.5375712305838183,0.0,7.0,1,0.9901,0.335,0.0,0.665,,
2020-02-05,146.94000244140625,226.9280242919922,-0.17505554639415655,0.23566706301206497,0.0,7.0,1,0.8402,0.244,0.0,0.7559999999999999,,
2020-02-06,149.79200744628906,228.88687133789062,0.010777297312728695,0.13467379594894124,0.0,28.0,1,0.9635,0.16899999999999998,0.051,0.7809999999999999,,
2020-02-07,149.61399841308594,227.9024658203125,0.0031124640062580866,0.10362775084666098,0.0,7.0,1,0.9927,0.233,0.027000000000000003,0.74,,
2020-02-10,154.25599670410156,230.6567840576172,0.018940984016063034,-0.05430387090273714,0.0,36.0,1,0.9981,0.225,0.059000000000000004,0.716,,
2020-02-11,154.87600708007812,230.6965484619141,0.0038469635329689833,-0.1469849331830293,0.0,1.0,1,-0.29600000000000004,0.0,0.121,0.879,,
2020-02-12,153.45799255371094,232.9437713623047,-0.018896838946332428,0.017848679555164004,0.0,6.0,1,0.816,0.34600000000000003,0.0,0.654,,
2020-02-13,160.8000030517578,232.6454620361328,0.04912438699008381,0.057067365759918776,0.0,2.0,1,-0.3182,0.045,0.11900000000000001,0.836,,
2020-02-14,160.00599670410156,233.31167602539062,-0.007801495220113641,0.045723970352922194,0.0,5.0,1,0.8765,0.198,0.07,0.732,,
2020-02-18,171.67999267578125,233.40115356445312,0.07257622957191745,0.1010569985230505,0.0,34.0,1,0.9941,0.179,0.053,0.768,,
2020-02-19,183.48399353027344,235.638427734375,0.05917030094248377,0.16329386137187418,0.0,2.0,1,0.8016,0.732,0.0,0.268,,
2020-02-20,179.8820037841797,233.45086669921875,-0.010347534692277005,0.17001361783299584,0.0,14.0,1,0.9574,0.11,0.006,0.885,,
2020-02-21,180.1999969482422,228.9664001464844,0.020977253818604602,0.13646075408962455,0.0,10.0,1,0.9159999999999999,0.107,0.057999999999999996,0.835,,
2020-02-24,166.75799560546875,220.13668823242188,-0.03603155114963075,0.09866788628996748,0.0,5.0,1,0.9279999999999999,0.231,0.045,0.7240000000000001,,
2020-02-25,159.98199462890625,214.1507568359375,-0.013441855160274296,0.014339338894677534,0.0,11.0,1,0.7717,0.19399999999999998,0.054000000000000006,0.752,,
2020-02-26,155.75999450683594,215.2544860839844,-0.03154445305322118,-0.0645924759400095,0.0,12.0,1,0.9554,0.20800000000000002,0.076,0.7170000000000001,,
2020-02-27,135.80000305175778,204.4758453369141,-0.07807187264935134,-0.12094450589823713,0.0,1.0,1,0.2263,0.091,0.0,0.909,,
2020-02-28,133.59800720214844,204.63494873046875,-0.016993094775082818,-0.15234612867063724,0.0,2.0,1,0.0,0.107,0.079,0.815,,
2020-03-02,148.7239990234375,215.19482421875,0.06161671044551298,-0.085695648628908,0.0,11.0,1,0.9329999999999999,0.142,0.017,0.841,,
2020-03-03,149.1020050048828,208.2941131591797,0.03460893341242943,-0.0406593605089034,0.0,10.0,1,0.9601,0.263,0.08900000000000001,0.648,,
2020-03-04,149.89999389648438,216.9846343994141,-0.03637039026883593,-0.045659675390891,0.0,5.0,1,0.9325,0.217,0.053,0.73,,
2020-03-05,144.9080047607422,210.3921661376953,-0.0029199409353636296,0.03813514888556213,0.0,0.0,0,0.0,0.0,0.0,0.0,,
2020-03-06,140.69599914550778,206.8423767089844,-0.012194505021318358,0.0423423242518246,0.0,2.0,1,-0.765,0.0,0.452,0.5479999999999999,,
2020-03-09,121.5999984741211,192.47418212890625,-0.0662607944135547,-0.07679637001411244,0.0,16.0,1,-0.6924,0.111,0.131,0.758,,
