,Compound,Positive,Negative,Neutral
553,0.4588,0.267,0.0,0.733
554,0.4588,1.0,0.0,0.0
555,0.0,0.0,0.0,1.0
556,-0.3705,0.0,0.092,0.908
557,0.3182,0.315,0.0,0.685
558,0.608,0.356,0.0,0.644
559,0.8016,0.375,0.0,0.625
560,0.4019,1.0,0.0,0.0
561,0.0,0.0,0.0,1.0
562,-0.1759,0.057,0.081,0.862
563,0.0258,0.216,0.0,0.784
564,-0.5994,0.052,0.133,0.815
565,0.0,0.0,0.0,0.0
566,0.0,0.0,0.0,1.0
567,-0.1531,0.092,0.117,0.792
568,0.0,0.0,0.0,1.0
569,0.7096,0.179,0.0,0.821
570,0.2975,0.145,0.0,0.855
571,0.8779,0.336,0.0,0.664
572,0.0,0.0,0.0,1.0
573,-0.8126,0.0,0.296,0.704
574,0.802,0.208,0.0,0.792
575,0.8955,0.29,0.036,0.674
576,0.4404,0.326,0.0,0.674
577,0.4404,0.293,0.0,0.707
578,0.4019,1.0,0.0,0.0
579,0.5423,0.201,0.15,0.649
580,0.0,0.0,0.0,1.0
581,0.4019,0.287,0.149,0.564
582,0.4588,0.214,0.0,0.786
583,0.2732,0.139,0.0,0.861
584,0.0,0.0,0.0,1.0
585,0.0,0.0,0.0,0.0
586,0.1027,0.268,0.169,0.563
587,0.6588,0.815,0.0,0.185
588,0.4019,0.403,0.0,0.597
589,0.3182,0.365,0.0,0.635
590,0.0,0.0,0.0,0.0
591,0.0,0.0,0.0,1.0
592,0.0,0.0,0.0,1.0
593,0.3182,0.133,0.0,0.867
594,0.0,0.0,0.0,1.0
595,0.0,0.0,0.0,1.0
596,0.0,0.0,0.0,1.0
597,0.3382,0.21,0.0,0.79
598,0.0,0.0,0.0,1.0
599,0.0,0.0,0.0,1.0
600,0.0,0.0,0.0,1.0
601,-0.296,0.0,0.355,0.645
602,0.75,0.615,0.0,0.385
603,0.7906,0.438,0.0,0.562
604,0.0,0.0,0.0,1.0
605,0.6369,0.457,0.0,0.543
606,-0.6037,0.0,0.36,0.64
607,0.6369,1.0,0.0,0.0
608,-0.2893,0.135,0.191,0.674
609,-0.6166,0.267,0.423,0.31
610,0.0,0.0,0.0,0.0
611,0.2714,0.079,0.089,0.832
612,0.4779,0.183,0.079,0.738
613,-0.3612,0.087,0.132,0.781
614,0.0,0.0,0.0,1.0
615,0.0,0.0,0.0,0.0
616,0.6588,0.468,0.0,0.532
617,0.5574,0.397,0.0,0.603
618,0.0,0.0,0.0,1.0
619,0.8505,0.698,0.0,0.302
620,0.5719,0.316,0.0,0.684
621,0.0258,0.109,0.0,0.891
622,-0.3182,0.0,0.434,0.566
623,0.636,0.677,0.0,0.323
624,0.0,0.0,0.0,1.0
625,0.3182,0.247,0.0,0.753
626,0.0,0.0,0.0,1.0
627,0.3182,1.0,0.0,0.0
628,0.0,0.0,0.0,1.0
629,0.4404,0.195,0.0,0.805
630,0.7897,0.35,0.0,0.65
631,0.6124,0.167,0.0,0.833
632,0.0,0.0,0.0,1.0
633,0.0,0.0,0.0,1.0
634,0.0,0.0,0.0,1.0
635,0.2023,0.114,0.0,0.886
636,0.5994,0.176,0.0,0.824
637,0.2732,0.344,0.0,0.656
638,-0.1378,0.049,0.072,0.879
639,0.3182,1.0,0.0,0.0
640,-0.2263,0.0,0.083,0.917
641,-0.3595,0.035,0.068,0.897
642,0.4019,1.0,0.0,0.0
643,0.4588,1.0,0.0,0.0
644,0.4215,0.412,0.0,0.588
645,0.0,0.0,0.0,1.0
